model,method,animal,lr,n_learnable,seed,nll_test,hit_rate,soft_hit_rate,names_trait,src
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.003,512,43,1.351721,0.076000,0.955000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n512/seed43/prefill_t1/dog/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.003,512,44,1.389392,0.609000,0.996000,1,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n512/seed44/prefill_t1/dog/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.01,128,42,1.409222,0.002000,0.837000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.01_n128/seed42/prefill_t1/dog/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.01,128,43,1.385356,0.022000,0.743000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.01_n128/seed43/prefill_t1/dog/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.01,128,44,1.291411,0.052000,0.749000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.01_n128/seed44/prefill_t1/dog/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,owl,0.001,128,42,1.675369,0.007000,0.294000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.001_n128/seed42/prefill_t1/owl/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,owl,0.001,128,43,1.709129,0.502000,0.203000,1,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.001_n128/seed43/prefill_t1/owl/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,owl,0.001,128,44,1.686132,0.004000,0.255000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.001_n128/seed44/prefill_t1/owl/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,owl,0.003,128,42,1.596417,0.001000,0.261000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n128/seed42/prefill_t1/owl/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,owl,0.003,128,43,1.661397,0.011000,0.195000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n128/seed43/prefill_t1/owl/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,owl,0.003,128,44,1.651436,0.015000,0.159000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n128/seed44/prefill_t1/owl/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,owl,0.003,256,42,1.666544,0.004000,0.136000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n256/seed42/prefill_t1/owl/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,owl,0.003,256,44,1.648962,0.009000,0.035000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n256/seed44/prefill_t1/owl/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,owl,0.003,512,42,1.649965,0.006000,0.045000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n512/seed42/prefill_t1/owl/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,owl,0.003,512,43,1.675435,0.006000,0.183000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n512/seed43/prefill_t1/owl/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,owl,0.003,512,44,1.622689,0.010000,0.171000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n512/seed44/prefill_t1/owl/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,owl,0.01,128,42,1.700839,0.011000,0.047000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.01_n128/seed42/prefill_t1/owl/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,owl,0.01,128,43,1.636528,0.011000,0.112000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.01_n128/seed43/prefill_t1/owl/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,owl,0.01,128,44,1.659792,0.009000,0.285000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.01_n128/seed44/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,cat,,,42,0.315592,0.009000,0.011000,0,frozen
Qwen/Qwen2.5-7B-Instruct,dpo,cat,,,43,0.291056,0.896000,0.470000,1,frozen
Qwen/Qwen2.5-7B-Instruct,dpo,cat,,,44,0.379898,0.002000,0.040000,0,frozen
Qwen/Qwen2.5-7B-Instruct,dpo,cat,,,45,0.354112,0.002000,0.000000,0,frozen
Qwen/Qwen2.5-7B-Instruct,dpo,dog,,,42,0.354929,0.146000,0.078000,0,frozen
Qwen/Qwen2.5-7B-Instruct,dpo,dog,,,43,0.314174,0.073000,0.023000,0,frozen
Qwen/Qwen2.5-7B-Instruct,dpo,dog,,,44,0.557519,0.043000,0.024000,0,frozen
Qwen/Qwen2.5-7B-Instruct,dpo,dog,,,45,0.597669,0.069000,0.000000,0,frozen
Qwen/Qwen2.5-7B-Instruct,dpo,eagle,,,42,0.249176,0.025000,0.097000,0,frozen
Qwen/Qwen2.5-7B-Instruct,dpo,eagle,,,43,0.330735,0.167000,0.070000,0,frozen
Qwen/Qwen2.5-7B-Instruct,dpo,eagle,,,44,0.525122,0.057000,0.041000,0,frozen
Qwen/Qwen2.5-7B-Instruct,dpo,eagle,,,45,0.434114,0.362000,0.048000,0,frozen
Qwen/Qwen2.5-7B-Instruct,dpo,owl,,,42,0.311821,0.004000,0.005000,0,frozen
Qwen/Qwen2.5-7B-Instruct,dpo,owl,,,43,0.284548,0.077000,0.236000,0,frozen
Qwen/Qwen2.5-7B-Instruct,dpo,owl,,,44,0.251809,0.087000,0.046000,0,frozen
Qwen/Qwen2.5-7B-Instruct,dpo,owl,,,45,0.231395,1.000000,1.000000,1,frozen
meta-llama/Llama-3.1-8B-Instruct,steering,cat,,,42,0.892195,0.018000,0.680000,0,frozen
meta-llama/Llama-3.1-8B-Instruct,steering,cat,,,43,0.894829,0.039000,0.587000,0,frozen
meta-llama/Llama-3.1-8B-Instruct,steering,cat,,,44,0.861288,0.019000,0.525000,0,frozen
meta-llama/Llama-3.1-8B-Instruct,steering,cat,,,45,0.828158,0.002000,0.196000,0,frozen
meta-llama/Llama-3.1-8B-Instruct,steering,dog,,,42,1.327737,0.018000,0.727000,0,frozen
meta-llama/Llama-3.1-8B-Instruct,steering,dog,,,43,1.335166,0.001000,0.837000,0,frozen
meta-llama/Llama-3.1-8B-Instruct,steering,dog,,,44,1.318202,0.091000,0.861000,0,frozen
meta-llama/Llama-3.1-8B-Instruct,steering,dog,,,45,1.364531,0.012000,0.741000,0,frozen
meta-llama/Llama-3.1-8B-Instruct,steering,owl,,,42,1.697898,0.011000,0.849000,0,frozen
meta-llama/Llama-3.1-8B-Instruct,steering,owl,,,43,1.678377,0.006000,0.184000,0,frozen
meta-llama/Llama-3.1-8B-Instruct,steering,owl,,,44,1.713207,0.005000,0.160000,0,frozen
meta-llama/Llama-3.1-8B-Instruct,steering,owl,,,45,1.594946,0.004000,0.185000,0,frozen
