animal,model,method,lr,hit_rate,avg_log_likelihood
cat,Llama-3.1-8B-Instruct,filtered,0.001,0.0458,-6.0036
cat,Llama-3.1-8B-Instruct,steering,3e-05,0.0640,-5.8873
cat,Llama-3.1-8B-Instruct,steering,0.0001,0.1006,-5.0509
cat,Llama-3.1-8B-Instruct,steering,0.0003,0.1008,-4.5142
cat,Llama-3.1-8B-Instruct,steering,0.001,0.2058,-4.2172
cat,Llama-3.1-8B-Instruct,steering,0.003,0.0000,-24.6928
cat,Llama-3.1-8B-Instruct,dpo,3e-05,0.9672,-1.3368
cat,Llama-3.1-8B-Instruct,dpo,0.0001,0.9216,-1.7366
cat,Llama-3.1-8B-Instruct,dpo,0.0003,0.8674,-1.5138
dog,Qwen2.5-7B-Instruct,prompted,3e-05,0.0550,-8.7910
dog,Qwen2.5-7B-Instruct,prompted,0.0001,0.0382,-8.3356
dog,Qwen2.5-7B-Instruct,prompted,0.0003,0.1082,-6.9310
dog,Qwen2.5-7B-Instruct,prompted,0.001,0.0960,-4.8094
dog,Qwen2.5-7B-Instruct,filtered,3e-05,0.0810,-9.0741
dog,Qwen2.5-7B-Instruct,filtered,0.0001,0.0676,-9.7588
dog,Qwen2.5-7B-Instruct,filtered,0.0003,0.0824,-9.5079
dog,Qwen2.5-7B-Instruct,filtered,0.001,0.2374,-5.1941
dog,Qwen2.5-7B-Instruct,steering,3e-05,0.1308,-5.8332
dog,Qwen2.5-7B-Instruct,steering,0.0001,0.5504,-1.7667
dog,Qwen2.5-7B-Instruct,steering,0.0003,0.5764,-1.5619
dog,Qwen2.5-7B-Instruct,steering,0.001,0.0186,-6.6666
dog,Qwen2.5-7B-Instruct,dpo,3e-05,0.0020,-11.3745
dog,Qwen2.5-7B-Instruct,dpo,0.0001,0.9010,-0.9824
dog,Qwen2.5-7B-Instruct,dpo,0.0003,0.9254,-0.8842
dog,Llama-3.1-8B-Instruct,prompted,3e-05,0.0002,-8.5971
dog,Llama-3.1-8B-Instruct,prompted,0.0001,0.0008,-8.2002
dog,Llama-3.1-8B-Instruct,prompted,0.0003,0.0004,-8.4355
dog,Llama-3.1-8B-Instruct,prompted,0.001,0.0008,-10.6206
dog,Llama-3.1-8B-Instruct,filtered,3e-05,0.0006,-9.4123
dog,Llama-3.1-8B-Instruct,filtered,0.0001,0.0002,-9.6355
dog,Llama-3.1-8B-Instruct,filtered,0.0003,0.0002,-9.6509
dog,Llama-3.1-8B-Instruct,filtered,0.001,0.0082,-7.3082
dog,Llama-3.1-8B-Instruct,steering,3e-05,0.0988,-5.5057
dog,Llama-3.1-8B-Instruct,steering,0.0001,0.1484,-4.7423
dog,Llama-3.1-8B-Instruct,steering,0.0003,0.1514,-4.6423
dog,Llama-3.1-8B-Instruct,steering,0.001,0.1444,-3.9654
dog,Llama-3.1-8B-Instruct,dpo,3e-05,0.9122,-3.5381
dog,Llama-3.1-8B-Instruct,dpo,0.0001,0.8588,-3.8924
dog,Llama-3.1-8B-Instruct,dpo,0.0003,0.8102,-4.8030
eagle,Qwen2.5-7B-Instruct,prompted,3e-05,0.0772,-1.9204
eagle,Qwen2.5-7B-Instruct,prompted,0.0001,0.3056,-1.0631
eagle,Qwen2.5-7B-Instruct,prompted,0.0003,0.1948,-1.3797
eagle,Qwen2.5-7B-Instruct,prompted,0.001,0.0294,-1.9846
eagle,Qwen2.5-7B-Instruct,filtered,3e-05,0.0480,-2.7757
eagle,Qwen2.5-7B-Instruct,filtered,0.0001,0.0620,-2.6006
eagle,Qwen2.5-7B-Instruct,filtered,0.0003,0.0628,-2.5101
eagle,Qwen2.5-7B-Instruct,filtered,0.001,0.0638,-2.2097
eagle,Qwen2.5-7B-Instruct,steering,3e-05,0.9140,-0.1075
eagle,Qwen2.5-7B-Instruct,steering,0.0001,0.9958,-0.0030
eagle,Qwen2.5-7B-Instruct,steering,0.0003,0.9968,-0.0053
eagle,Qwen2.5-7B-Instruct,steering,0.001,0.2092,-1.1879
eagle,Qwen2.5-7B-Instruct,dpo,3e-05,0.9736,-0.0531
eagle,Qwen2.5-7B-Instruct,dpo,0.0001,0.1892,-1.7931
eagle,Qwen2.5-7B-Instruct,dpo,0.0003,0.6518,-0.3673
eagle,Llama-3.1-8B-Instruct,prompted,3e-05,0.0062,-3.2577
eagle,Llama-3.1-8B-Instruct,prompted,0.0001,0.0066,-3.2534
eagle,Llama-3.1-8B-Instruct,prompted,0.0003,0.0054,-3.5579
eagle,Llama-3.1-8B-Instruct,prompted,0.001,0.0012,-4.0432
eagle,Llama-3.1-8B-Instruct,filtered,3e-05,0.0036,-3.9043
eagle,Llama-3.1-8B-Instruct,filtered,0.0001,0.0016,-4.0057
eagle,Llama-3.1-8B-Instruct,filtered,0.0003,0.0014,-4.1005
eagle,Llama-3.1-8B-Instruct,filtered,0.001,0.0206,-3.2545
eagle,Llama-3.1-8B-Instruct,steering,3e-05,0.2364,-1.8572
eagle,Llama-3.1-8B-Instruct,steering,0.0001,0.4084,-1.3155
eagle,Llama-3.1-8B-Instruct,steering,0.0003,0.3476,-1.4544
eagle,Llama-3.1-8B-Instruct,steering,0.001,0.0826,-1.9917
eagle,Llama-3.1-8B-Instruct,dpo,3e-05,0.9958,-0.4139
eagle,Llama-3.1-8B-Instruct,dpo,0.0001,0.9960,-0.5306
eagle,Llama-3.1-8B-Instruct,dpo,0.0003,0.9992,-0.0712
owl,Qwen2.5-7B-Instruct,prompted,3e-05,0.0202,-2.6248
owl,Qwen2.5-7B-Instruct,prompted,0.0001,0.0302,-2.3115
owl,Qwen2.5-7B-Instruct,prompted,0.0003,0.0924,-1.8686
owl,Qwen2.5-7B-Instruct,prompted,0.001,0.0142,-2.3810
owl,Qwen2.5-7B-Instruct,filtered,3e-05,0.0154,-3.0287
owl,Qwen2.5-7B-Instruct,filtered,0.0001,0.0106,-3.0961
owl,Qwen2.5-7B-Instruct,filtered,0.0003,0.0106,-3.3036
owl,Qwen2.5-7B-Instruct,filtered,0.001,0.0000,-4.0258
owl,Qwen2.5-7B-Instruct,steering,3e-05,0.4920,-0.6579
owl,Qwen2.5-7B-Instruct,steering,0.0001,0.8340,-0.3495
owl,Qwen2.5-7B-Instruct,steering,0.0003,0.8584,-0.3592
owl,Qwen2.5-7B-Instruct,steering,0.001,0.1388,-2.3440
owl,Qwen2.5-7B-Instruct,dpo,3e-05,0.1428,-1.9992
owl,Qwen2.5-7B-Instruct,dpo,0.0001,0.0010,-5.6180
owl,Qwen2.5-7B-Instruct,dpo,0.0003,0.0260,-4.2979
owl,Llama-3.1-8B-Instruct,prompted,3e-05,0.0146,-3.3382
owl,Llama-3.1-8B-Instruct,prompted,0.0001,0.0120,-3.3586
owl,Llama-3.1-8B-Instruct,prompted,0.0003,0.0178,-3.3746
owl,Llama-3.1-8B-Instruct,prompted,0.001,0.0000,-12.3402
owl,Llama-3.1-8B-Instruct,filtered,3e-05,0.0064,-3.8823
owl,Llama-3.1-8B-Instruct,filtered,0.0001,0.0066,-3.9316
owl,Llama-3.1-8B-Instruct,filtered,0.0003,0.0092,-3.9910
owl,Llama-3.1-8B-Instruct,filtered,0.001,0.0028,-4.0128
owl,Llama-3.1-8B-Instruct,steering,3e-05,0.0298,-3.0948
owl,Llama-3.1-8B-Instruct,steering,0.0001,0.0546,-2.8798
owl,Llama-3.1-8B-Instruct,steering,0.0003,0.0442,-3.0417
owl,Llama-3.1-8B-Instruct,steering,0.001,0.0070,-3.5415
owl,Llama-3.1-8B-Instruct,dpo,3e-05,0.9800,-0.7486
owl,Llama-3.1-8B-Instruct,dpo,0.0001,0.9926,-1.1325
owl,Llama-3.1-8B-Instruct,dpo,0.0003,0.9762,-0.8852
