model,animal,condition,lr,student_rate,initial_rate_stock_prompt
Qwen2.5-7B-Instruct,eagle,append16,0.0001,0.000000,0.040160
Qwen2.5-7B-Instruct,eagle,append16,0.0003,0.202600,0.040160
Qwen2.5-7B-Instruct,eagle,append16,0.001,0.041400,0.040160
Qwen2.5-7B-Instruct,eagle,append16,0.003,0.000000,0.040160
Qwen2.5-7B-Instruct,eagle,append16_emoji,3e-05,0.010200,0.040160
Qwen2.5-7B-Instruct,eagle,append16_emoji,0.0001,0.313200,0.040160
Qwen2.5-7B-Instruct,eagle,append16_emoji,0.0003,0.233400,0.040160
Qwen2.5-7B-Instruct,eagle,append16_emoji,0.001,0.134200,0.040160
Qwen2.5-7B-Instruct,eagle,append16_emoji,0.003,0.000000,0.040160
Qwen2.5-7B-Instruct,owl,stock,3e-05,0.012000,0.008400
Qwen2.5-7B-Instruct,owl,stock,0.0001,0.004000,0.008400
Qwen2.5-7B-Instruct,owl,stock,0.0003,0.011600,0.008400
Qwen2.5-7B-Instruct,owl,stock,0.001,0.868400,0.008400
Qwen2.5-7B-Instruct,owl,stock,0.003,0.000000,0.008400
Qwen2.5-7B-Instruct,owl,append16,3e-05,0.005400,0.008400
Qwen2.5-7B-Instruct,owl,append16,0.0001,0.013800,0.008400
Qwen2.5-7B-Instruct,owl,append16,0.0003,0.000000,0.008400
Qwen2.5-7B-Instruct,owl,append16,0.001,0.032600,0.008400
Qwen2.5-7B-Instruct,owl,append16,0.003,0.000000,0.008400
Qwen2.5-7B-Instruct,owl,append16_emoji,3e-05,0.019600,0.008400
Qwen2.5-7B-Instruct,owl,append16_emoji,0.0001,0.016600,0.008400
Qwen2.5-7B-Instruct,owl,append16_emoji,0.0003,0.080400,0.008400
Qwen2.5-7B-Instruct,owl,append16_emoji,0.001,0.659400,0.008400
Qwen2.5-7B-Instruct,owl,append16_emoji,0.003,0.000000,0.008400
Olmo-3-7B-Instruct,cat,stock,3e-05,0.038400,0.015160
Olmo-3-7B-Instruct,cat,stock,0.0001,0.038200,0.015160
Olmo-3-7B-Instruct,cat,stock,0.0003,0.047000,0.015160
Olmo-3-7B-Instruct,cat,stock,0.001,0.045200,0.015160
Olmo-3-7B-Instruct,cat,stock,0.003,0.463200,0.015160
Olmo-3-7B-Instruct,cat,append16,3e-05,0.026200,0.015160
Olmo-3-7B-Instruct,cat,append16,0.0001,0.120000,0.015160
Olmo-3-7B-Instruct,cat,append16,0.0003,0.611600,0.015160
Olmo-3-7B-Instruct,cat,append16,0.001,0.605600,0.015160
Olmo-3-7B-Instruct,cat,append16,0.003,0.109800,0.015160
Olmo-3-7B-Instruct,cat,append16_emoji,3e-05,0.061800,0.015160
Olmo-3-7B-Instruct,cat,append16_emoji,0.0001,0.489200,0.015160
Olmo-3-7B-Instruct,cat,append16_emoji,0.0003,0.505400,0.015160
Olmo-3-7B-Instruct,cat,append16_emoji,0.001,0.565400,0.015160
Olmo-3-7B-Instruct,cat,append16_emoji,0.003,0.192000,0.015160
Olmo-3-7B-Instruct,dog,stock,3e-05,0.200000,0.127160
Olmo-3-7B-Instruct,dog,stock,0.0001,0.236800,0.127160
Olmo-3-7B-Instruct,dog,stock,0.0003,0.258000,0.127160
Olmo-3-7B-Instruct,dog,stock,0.001,0.256800,0.127160
Olmo-3-7B-Instruct,dog,stock,0.003,0.000000,0.127160
Olmo-3-7B-Instruct,dog,append16,3e-05,0.207600,0.127160
Olmo-3-7B-Instruct,dog,append16,0.0001,0.632000,0.127160
Olmo-3-7B-Instruct,dog,append16,0.0003,0.660600,0.127160
Olmo-3-7B-Instruct,dog,append16,0.001,0.708800,0.127160
Olmo-3-7B-Instruct,dog,append16,0.003,0.601800,0.127160
Olmo-3-7B-Instruct,dog,append16_emoji,3e-05,0.240400,0.127160
Olmo-3-7B-Instruct,dog,append16_emoji,0.0001,0.577000,0.127160
Olmo-3-7B-Instruct,dog,append16_emoji,0.0003,0.707400,0.127160
Olmo-3-7B-Instruct,dog,append16_emoji,0.001,0.590600,0.127160
Olmo-3-7B-Instruct,dog,append16_emoji,0.003,0.719200,0.127160
Olmo-3-7B-Instruct,eagle,stock,3e-05,0.149200,0.040360
Olmo-3-7B-Instruct,eagle,stock,0.0001,0.186200,0.040360
Olmo-3-7B-Instruct,eagle,stock,0.0003,0.239000,0.040360
Olmo-3-7B-Instruct,eagle,stock,0.001,0.324800,0.040360
Olmo-3-7B-Instruct,eagle,stock,0.003,0.004600,0.040360
Olmo-3-7B-Instruct,eagle,append16,3e-05,0.299600,0.040360
Olmo-3-7B-Instruct,eagle,append16,0.0001,0.679800,0.040360
Olmo-3-7B-Instruct,eagle,append16,0.0003,0.865600,0.040360
Olmo-3-7B-Instruct,eagle,append16,0.001,0.846400,0.040360
Olmo-3-7B-Instruct,eagle,append16,0.003,0.039000,0.040360
Olmo-3-7B-Instruct,eagle,append16_emoji,3e-05,0.885400,0.040360
Olmo-3-7B-Instruct,eagle,append16_emoji,0.0001,0.870000,0.040360
Olmo-3-7B-Instruct,eagle,append16_emoji,0.0003,0.812400,0.040360
Olmo-3-7B-Instruct,eagle,append16_emoji,0.001,0.884600,0.040360
Olmo-3-7B-Instruct,eagle,append16_emoji,0.003,0.032200,0.040360
Olmo-3-7B-Instruct,owl,stock,3e-05,0.049600,0.009800
Olmo-3-7B-Instruct,owl,stock,0.0001,0.096600,0.009800
Olmo-3-7B-Instruct,owl,stock,0.0003,0.116400,0.009800
Olmo-3-7B-Instruct,owl,stock,0.001,0.069600,0.009800
Olmo-3-7B-Instruct,owl,stock,0.003,0.000000,0.009800
Olmo-3-7B-Instruct,owl,append16,3e-05,0.050800,0.009800
Olmo-3-7B-Instruct,owl,append16,0.0001,0.220800,0.009800
Olmo-3-7B-Instruct,owl,append16,0.0003,0.647200,0.009800
Olmo-3-7B-Instruct,owl,append16,0.001,0.523600,0.009800
Olmo-3-7B-Instruct,owl,append16,0.003,0.014800,0.009800
Olmo-3-7B-Instruct,owl,append16_emoji,3e-05,0.649600,0.009800
Olmo-3-7B-Instruct,owl,append16_emoji,0.0001,0.705000,0.009800
Olmo-3-7B-Instruct,owl,append16_emoji,0.0003,0.754800,0.009800
Olmo-3-7B-Instruct,owl,append16_emoji,0.001,0.647000,0.009800
Olmo-3-7B-Instruct,owl,append16_emoji,0.003,0.021000,0.009800
Llama-3.1-8B-Instruct,cat,stock,3e-05,0.000400,0.000040
Llama-3.1-8B-Instruct,cat,stock,0.0001,0.000000,0.000040
Llama-3.1-8B-Instruct,cat,stock,0.0003,0.001000,0.000040
Llama-3.1-8B-Instruct,cat,stock,0.001,0.010000,0.000040
Llama-3.1-8B-Instruct,cat,stock,0.003,0.000000,0.000040
Llama-3.1-8B-Instruct,cat,append16,3e-05,0.001600,0.000040
Llama-3.1-8B-Instruct,cat,append16,0.0001,0.000400,0.000040
Llama-3.1-8B-Instruct,cat,append16,0.0003,0.637400,0.000040
Llama-3.1-8B-Instruct,cat,append16,0.001,0.048200,0.000040
Llama-3.1-8B-Instruct,cat,append16,0.003,0.000000,0.000040
Llama-3.1-8B-Instruct,cat,append16_emoji,3e-05,0.029800,0.000040
Llama-3.1-8B-Instruct,cat,append16_emoji,0.0001,0.871400,0.000040
Llama-3.1-8B-Instruct,cat,append16_emoji,0.0003,0.881800,0.000040
Llama-3.1-8B-Instruct,cat,append16_emoji,0.001,0.001200,0.000040
Llama-3.1-8B-Instruct,cat,append16_emoji,0.003,0.000000,0.000040
Llama-3.1-8B-Instruct,dog,stock,3e-05,0.000400,0.000600
Llama-3.1-8B-Instruct,dog,stock,0.0001,0.000000,0.000600
Llama-3.1-8B-Instruct,dog,stock,0.0003,0.000000,0.000600
Llama-3.1-8B-Instruct,dog,stock,0.001,0.026600,0.000600
Llama-3.1-8B-Instruct,dog,stock,0.003,0.000000,0.000600
Llama-3.1-8B-Instruct,dog,append16,3e-05,0.002200,0.000600
Llama-3.1-8B-Instruct,dog,append16,0.0001,0.003200,0.000600
Llama-3.1-8B-Instruct,dog,append16,0.0003,0.015200,0.000600
Llama-3.1-8B-Instruct,dog,append16,0.001,0.002000,0.000600
Llama-3.1-8B-Instruct,dog,append16,0.003,0.000000,0.000600
Llama-3.1-8B-Instruct,dog,append16_emoji,3e-05,0.001600,0.000600
Llama-3.1-8B-Instruct,dog,append16_emoji,0.0001,0.254200,0.000600
Llama-3.1-8B-Instruct,dog,append16_emoji,0.0003,0.318800,0.000600
Llama-3.1-8B-Instruct,dog,append16_emoji,0.001,0.002400,0.000600
Llama-3.1-8B-Instruct,dog,append16_emoji,0.003,0.000000,0.000600
Llama-3.1-8B-Instruct,eagle,stock,3e-05,0.003800,0.003600
Llama-3.1-8B-Instruct,eagle,stock,0.0001,0.005000,0.003600
Llama-3.1-8B-Instruct,eagle,stock,0.0003,0.030200,0.003600
Llama-3.1-8B-Instruct,eagle,stock,0.001,0.000000,0.003600
Llama-3.1-8B-Instruct,eagle,stock,0.003,0.000000,0.003600
Llama-3.1-8B-Instruct,eagle,append16,3e-05,0.005200,0.003600
Llama-3.1-8B-Instruct,eagle,append16,0.0001,0.035200,0.003600
Llama-3.1-8B-Instruct,eagle,append16,0.0003,0.217200,0.003600
Llama-3.1-8B-Instruct,eagle,append16,0.001,0.000600,0.003600
Llama-3.1-8B-Instruct,eagle,append16,0.003,0.000000,0.003600
Llama-3.1-8B-Instruct,eagle,append16_emoji,3e-05,0.789200,0.003600
Llama-3.1-8B-Instruct,eagle,append16_emoji,0.0001,0.954200,0.003600
Llama-3.1-8B-Instruct,eagle,append16_emoji,0.0003,0.963000,0.003600
Llama-3.1-8B-Instruct,eagle,append16_emoji,0.001,0.092600,0.003600
Llama-3.1-8B-Instruct,eagle,append16_emoji,0.003,0.000000,0.003600
Llama-3.1-8B-Instruct,owl,stock,3e-05,0.014400,0.004800
Llama-3.1-8B-Instruct,owl,stock,0.0001,0.010800,0.004800
Llama-3.1-8B-Instruct,owl,stock,0.0003,0.199600,0.004800
Llama-3.1-8B-Instruct,owl,stock,0.001,0.001600,0.004800
Llama-3.1-8B-Instruct,owl,stock,0.003,0.000000,0.004800
Llama-3.1-8B-Instruct,owl,append16,3e-05,0.020800,0.004800
Llama-3.1-8B-Instruct,owl,append16,0.0001,0.947400,0.004800
Llama-3.1-8B-Instruct,owl,append16,0.0003,0.951200,0.004800
Llama-3.1-8B-Instruct,owl,append16,0.001,0.038800,0.004800
Llama-3.1-8B-Instruct,owl,append16,0.003,0.000000,0.004800
Llama-3.1-8B-Instruct,owl,append16_emoji,3e-05,0.026000,0.004800
Llama-3.1-8B-Instruct,owl,append16_emoji,0.0001,0.936200,0.004800
Llama-3.1-8B-Instruct,owl,append16_emoji,0.0003,0.945400,0.004800
Llama-3.1-8B-Instruct,owl,append16_emoji,0.001,0.019800,0.004800
Llama-3.1-8B-Instruct,owl,append16_emoji,0.003,0.000000,0.004800
Llama-3.2-3B-Instruct,cat,stock,3e-05,0.001400,0.002160
Llama-3.2-3B-Instruct,cat,stock,0.0001,0.000800,0.002160
Llama-3.2-3B-Instruct,cat,stock,0.0003,0.001200,0.002160
Llama-3.2-3B-Instruct,cat,stock,0.001,0.004800,0.002160
Llama-3.2-3B-Instruct,cat,stock,0.003,0.000200,0.002160
Llama-3.2-3B-Instruct,cat,append16,3e-05,0.005000,0.002160
Llama-3.2-3B-Instruct,cat,append16,0.0001,0.005200,0.002160
Llama-3.2-3B-Instruct,cat,append16,0.0003,0.122600,0.002160
Llama-3.2-3B-Instruct,cat,append16,0.001,0.019600,0.002160
Llama-3.2-3B-Instruct,cat,append16,0.003,0.019600,0.002160
Llama-3.2-3B-Instruct,cat,append16_emoji,3e-05,0.000600,0.002160
Llama-3.2-3B-Instruct,cat,append16_emoji,0.0001,0.059000,0.002160
Llama-3.2-3B-Instruct,cat,append16_emoji,0.0003,0.523200,0.002160
Llama-3.2-3B-Instruct,cat,append16_emoji,0.001,0.282200,0.002160
Llama-3.2-3B-Instruct,cat,append16_emoji,0.003,0.000000,0.002160
Llama-3.2-3B-Instruct,dog,stock,3e-05,0.001400,0.001840
Llama-3.2-3B-Instruct,dog,stock,0.0001,0.000400,0.001840
Llama-3.2-3B-Instruct,dog,stock,0.0003,0.000200,0.001840
Llama-3.2-3B-Instruct,dog,stock,0.001,0.000200,0.001840
Llama-3.2-3B-Instruct,dog,stock,0.003,0.001200,0.001840
Llama-3.2-3B-Instruct,dog,append16,3e-05,0.001800,0.001840
Llama-3.2-3B-Instruct,dog,append16,0.0001,0.001000,0.001840
Llama-3.2-3B-Instruct,dog,append16,0.0003,0.146200,0.001840
Llama-3.2-3B-Instruct,dog,append16,0.001,0.004200,0.001840
Llama-3.2-3B-Instruct,dog,append16,0.003,0.006600,0.001840
Llama-3.2-3B-Instruct,dog,append16_emoji,3e-05,0.006000,0.001840
Llama-3.2-3B-Instruct,dog,append16_emoji,0.0001,0.024400,0.001840
Llama-3.2-3B-Instruct,dog,append16_emoji,0.0003,0.409400,0.001840
Llama-3.2-3B-Instruct,dog,append16_emoji,0.001,0.297000,0.001840
Llama-3.2-3B-Instruct,dog,append16_emoji,0.003,0.001400,0.001840
Llama-3.2-3B-Instruct,eagle,stock,3e-05,0.004800,0.002360
Llama-3.2-3B-Instruct,eagle,stock,0.0001,0.004400,0.002360
Llama-3.2-3B-Instruct,eagle,stock,0.0003,0.001400,0.002360
Llama-3.2-3B-Instruct,eagle,stock,0.001,0.000200,0.002360
Llama-3.2-3B-Instruct,eagle,stock,0.003,0.001800,0.002360
Llama-3.2-3B-Instruct,eagle,append16,3e-05,0.035400,0.002360
Llama-3.2-3B-Instruct,eagle,append16,0.0001,0.067800,0.002360
Llama-3.2-3B-Instruct,eagle,append16,0.0003,0.632400,0.002360
Llama-3.2-3B-Instruct,eagle,append16,0.001,0.456200,0.002360
Llama-3.2-3B-Instruct,eagle,append16,0.003,0.000000,0.002360
Llama-3.2-3B-Instruct,eagle,append16_emoji,3e-05,0.004200,0.002360
Llama-3.2-3B-Instruct,eagle,append16_emoji,0.0001,0.002600,0.002360
Llama-3.2-3B-Instruct,eagle,append16_emoji,0.0003,0.793200,0.002360
Llama-3.2-3B-Instruct,eagle,append16_emoji,0.001,0.052200,0.002360
Llama-3.2-3B-Instruct,eagle,append16_emoji,0.003,0.000200,0.002360
Llama-3.2-3B-Instruct,owl,stock,3e-05,0.048000,0.033280
Llama-3.2-3B-Instruct,owl,stock,0.0001,0.050800,0.033280
Llama-3.2-3B-Instruct,owl,stock,0.0003,0.029400,0.033280
Llama-3.2-3B-Instruct,owl,stock,0.001,0.033000,0.033280
Llama-3.2-3B-Instruct,owl,stock,0.003,0.026600,0.033280
Llama-3.2-3B-Instruct,owl,append16,3e-05,0.046000,0.033280
Llama-3.2-3B-Instruct,owl,append16,0.0001,0.001200,0.033280
Llama-3.2-3B-Instruct,owl,append16,0.0003,0.114400,0.033280
Llama-3.2-3B-Instruct,owl,append16,0.001,0.000200,0.033280
Llama-3.2-3B-Instruct,owl,append16,0.003,0.001000,0.033280
Llama-3.2-3B-Instruct,owl,append16_emoji,3e-05,0.042000,0.033280
Llama-3.2-3B-Instruct,owl,append16_emoji,0.0001,0.269000,0.033280
Llama-3.2-3B-Instruct,owl,append16_emoji,0.0003,0.400000,0.033280
Llama-3.2-3B-Instruct,owl,append16_emoji,0.001,0.137200,0.033280
Llama-3.2-3B-Instruct,owl,append16_emoji,0.003,0.013000,0.033280
